Date,Stock Name,Open,High,Low,Close,Adj Close,Volume,Mean_Sentiment_Score,Median_Sentiment_Score,Total_Sentiment_Score,Total_Sentiment_Negative,Total_Sentiment_Neutral,Total_Sentiment_Positive
2022-06-10,GOOG,112.78125,113.49700164794922,110.86100006103516,111.42749786376952,111.42749786376952,31324000,-0.5035,-0.5035,-0.5035,1.0,0.0,0.0
2022-06-13,GOOG,107.4459991455078,109.21849822998048,106.58805084228516,106.87650299072266,106.87650299072266,36756000,0.1366,0.1366,0.2732,0.0,1.0,1.0
2022-06-14,GOOG,106.88999938964844,108.4574966430664,106.35199737548828,107.19400024414062,107.19400024414062,25480000,0.5760000000000001,0.7243999999999999,2.3040000000000003,0.0,0.0,4.0
2022-06-15,GOOG,108.89949798583984,112.06300354003906,108.1187515258789,110.3905029296875,110.3905029296875,33192000,0.23375,0.23375,0.4675,0.0,0.0,2.0
2022-06-16,GOOG,108.14949798583984,109.29049682617188,105.7925033569336,106.63600158691406,106.63600158691406,35314000,0.13635999999999998,0.0,0.6818,1.0,2.0,2.0
2022-06-17,GOOG,106.53500366210938,109.24949645996094,105.62854766845705,107.8655014038086,107.8655014038086,43516000,0.0,0.0,0.0,0.0,2.0,0.0
2022-06-21,GOOG,109.7020034790039,112.6729965209961,109.2935028076172,112.01499938964844,112.01499938964844,39010000,-0.39225,-0.39225,-0.7845,1.0,1.0,0.0
2022-06-22,GOOG,111.16300201416016,113.76950073242188,110.72429656982422,112.03399658203124,112.03399658203124,23922000,0.363625,0.31845,1.4545,0.0,2.0,2.0
2022-06-23,GOOG,112.9499969482422,113.19650268554688,111.02899932861328,112.68450164794922,112.68450164794922,24710000,0.61195,0.7003,2.4478,0.0,0.0,4.0
2022-06-24,GOOG,113.60299682617188,118.6374969482422,113.60299682617188,118.53800201416016,118.53800201416016,39122000,0.128,0.128,0.128,0.0,0.0,1.0
2022-06-27,GOOG,118.93499755859376,119.25,116.00074768066406,116.62249755859376,116.62249755859376,32840000,0.0,0.0,0.0,0.0,1.0,0.0
2022-06-28,GOOG,116.35099792480467,117.85649871826172,112.44400024414062,112.57150268554688,112.57150268554688,28232000,0.6000666666666666,0.8689,1.8002,0.0,1.0,2.0
2022-06-29,GOOG,112.14849853515624,113.66449737548828,111.5540008544922,112.25650024414062,112.25650024414062,18628000,-0.1504,-0.1504,-0.3008,1.0,0.0,1.0
2022-06-30,GOOG,110.49949645996094,111.32980346679688,107.30999755859376,109.37249755859376,109.37249755859376,38046000,0.8442,0.8442,0.8442,0.0,0.0,1.0
2022-07-01,GOOG,108.33699798583984,109.8063507080078,107.1050033569336,109.08100128173828,109.08100128173828,31028000,0.0,0.0,0.0,0.0,2.0,0.0
2022-07-05,GOOG,107.5145034790039,114.05259704589844,106.24949645996094,113.88700103759766,113.88700103759766,36398000,0.0,0.0,0.0,0.0,1.0,0.0
2022-07-06,GOOG,114.09200286865234,116.35199737548828,112.25050354003906,115.2135009765625,115.2135009765625,28852000,0.15293333333333334,0.0,0.4588,0.0,2.0,1.0
2022-07-07,GOOG,116.00800323486328,119.86199951171876,115.53399658203124,119.30599975585938,119.30599975585938,32184000,-0.06288,0.0,-0.3144,1.0,3.0,1.0
2022-07-08,GOOG,117.5500030517578,120.43499755859376,117.51399993896484,120.1685028076172,120.1685028076172,29082000,0.371925,0.25465,1.4877,0.0,2.0,2.0
2022-07-11,GOOG,118.6500015258789,118.79450225830078,116.2344970703125,116.52249908447266,116.52249908447266,26718000,0.47465,0.47465,0.9493,0.0,1.0,1.0
2022-07-12,GOOG,116.8385009765625,117.84950256347656,114.61499786376952,114.84950256347656,114.84950256347656,24970000,0.1912,0.1779,0.5736,1.0,0.0,2.0
2022-07-13,GOOG,112.63899993896484,115.15699768066406,111.822998046875,112.18699645996094,112.18699645996094,38958000,0.254975,0.10115,1.0199,0.0,2.0,2.0
2022-07-14,GOOG,110.82599639892578,111.9875030517578,109.32550048828124,111.44000244140624,111.44000244140624,32366000,0.943,0.943,0.943,0.0,0.0,1.0
2022-07-15,GOOG,112.96299743652344,114.00050354003906,111.82250213623048,112.76699829101562,112.76699829101562,34330000,0.10729999999999999,0.0,0.32189999999999996,1.0,1.0,1.0
2022-07-18,GOOG,113.44000244140624,114.8000030517578,109.3000030517578,109.91000366210938,109.91000366210938,33354000,-0.2476,0.0,-1.238,2.0,2.0,1.0
2022-07-19,GOOG,111.7300033569336,114.80999755859376,110.5,114.62000274658205,114.62000274658205,30992300,0.15857499999999997,0.20095,0.6342999999999999,1.0,1.0,2.0
2022-07-20,GOOG,114.05999755859376,116.33000183105467,113.26000213623048,114.6999969482422,114.6999969482422,26780100,0.2145,0.0,1.5015,2.0,2.0,3.0
2022-07-21,GOOG,115.08999633789062,115.20999908447266,111.91000366210938,115.04000091552734,115.04000091552734,27267800,0.183825,0.1901,0.7353,1.0,1.0,2.0
2022-07-22,GOOG,111.80999755859376,113.18000030517578,107.5999984741211,108.36000061035156,108.36000061035156,44455300,0.12270000000000002,0.05135,0.9816000000000001,1.0,3.0,4.0
2022-07-25,GOOG,108.87999725341795,110.58000183105467,107.01000213623048,108.20999908447266,108.20999908447266,28289900,0.23312,0.3818,1.1656,1.0,1.0,3.0
2022-07-26,GOOG,107.43000030517578,107.73999786376952,104.76000213623048,105.44000244140624,105.44000244140624,36626600,0.03824090909090909,0.0,0.8412999999999999,8.0,7.0,7.0
